Name or Place,Video link 1,Video link 2,Lat/Long,Month,"Proof of location: Landmarks (Youtube video, Landmark, Timestamp, GPS or Google Street link)"
Aigali,https://www.youtube.com/watch?v=cgLVO77pr_4,,,,
Avani,https://www.youtube.com/watch?v=g1z1nixk5Bs,,,,
Baby Betta,https://www.youtube.com/watch?v=cUqHL2CdOBI,,,,
Badami,https://www.youtube.com/watch?v=1HP3kb2P_HE ,https://www.youtube.com/watch?v=O6aZwO_4I5k,"15.913335, 75.685090",Jan,"(Y1, Mobile tower next to the hill, 0:47 ,https://maps.app.goo.gl/cqaNxbJ6VeE8Y6Wd8)"
Badavanahalli,https://www.youtube.com/watch?v=ImcvtKqS6qw,,,,
Bagalkote,https://www.youtube.com/watch?v=-3NC5PnxDK4,,,,
Bairisiddeswara cattle fair,https://www.youtube.com/watch?v=uU7Bq8k2N5w,,,,
Banashankari fair,https://www.youtube.com/watch?v=IngBPxdn4-g,,,,
Bankapura,https://www.youtube.com/watch?v=eJqMPm851yM,,,,
Bannur Hemadri,https://www.youtube.com/watch?v=c9s7QImUV-8,,,,
Basavanagudi cattle fair,https://www.youtube.com/watch?v=hwOjgyD-OqM,,,,
Bettadapura cattle fair,https://www.youtube.com/watch?v=qUfdwIosGQU,https://starofmysore.com/oxen-sold-at-rs-5-lakh-a-pair-at-bettadapura-cattle-fair/,,,
Bhooka,https://www.youtube.com/watch?v=5aIv2nr5GYA,https://www.youtube.com/watch?v=0hFaguqNEfc,,,
Birur cattle fair,https://www.youtube.com/watch?v=PaBearlcX7A,,,,
Chadchan,https://www.youtube.com/watch?v=kDw13yLDDkw,,,,
Chelur,https://www.youtube.com/watch?v=zNIkwaEjvUk,,,,
Chunchanakatte,https://www.youtube.com/watch?v=RBr2f9sI9IQ,https://www.youtube.com/watch?v=mpsSBV-hgNA,,,
Davanagere Cattle Fair,,,,,
DN Doddi,https://www.youtube.com/watch?v=pJIUq88Rsdc,https://www.youtube.com/watch?v=2SJMM_JifDU,,,
Doornahalli Bull fair,https://www.youtube.com/watch?v=ZFSCWa0aKTo,,,,
Ghati Subramanya Jatre,https://www.youtube.com/watch?v=SM0-yon7PJY,,,,
Gulevu Bellari,https://www.youtube.com/watch?v=STQ4P628YzY,,,,
Gutte Mahimapura,https://www.youtube.com/watch?v=CunjAagcfkI,https://www.youtube.com/watch?v=WBMrlWVESd4,,,
Hassan Cattle Fair,https://www.youtube.com/watch?v=6P1AdRa5uj4,,,,
Hayalla Lingeshwara,https://www.youtube.com/watch?v=U15e302XHKM,,,,
Hemagiri,https://www.youtube.com/watch?v=E-HAUtJY7xI,,,,
Horti cattle fair at Vijayapura district,https://www.youtube.com/watch?v=nOqMl4gzumA,,,,
Karehalli (Chikkanayakanahalli) Ranganatha swamy,https://www.youtube.com/watch?v=LbIfRrtuF2A,,,,
Kengal Anjaneya Swamy,https://www.youtube.com/watch?v=Kz9IOQxnHXI,,,,
Kotagal cattle fair,https://www.youtube.com/watch?v=Raqw_XVg42A,,,,
Kukkuvadeshwari Ammana Jatre,https://www.youtube.com/watch?v=X9GMq_zo7js,,,,
Kyamenahalli,https://www.youtube.com/watch?v=DlPe5M7UvF4,,,,
Maddur ,https://www.youtube.com/watch?v=l0rDfoR0NvY,,,,
Madhugiri,https://www.youtube.com/watch?v=z6fpJ7PhOqc,,,,
Magadi,https://www.youtube.com/watch?v=nYBGtFXmdVQ,,,,
Mudukothore,https://www.youtube.com/watch?v=mZU1YYa8K5A,,,,
Pandarapur,https://www.youtube.com/watch?v=ObconbqTDg8,,,,
Raibag,https://www.youtube.com/watch?v=PPBxLvYcCbU,,,,
Viduraswatha,https://www.youtube.com/watch?v=nKkCFxhfWN0,,,,
Sapalamma cattle fair (Thoranahalli),https://www.youtube.com/watch?v=Pl3rxs1e6Ts,,,,
Shantalli Kumara Lingeshwara,,,,,
Sharanabasaveshwara (Yadgir),https://www.youtube.com/watch?v=_tT5r2ZD99E,,https://www.youtube.com/watch?v=_tT5r2ZD99E,,
Siddaganga,https://www.youtube.com/watch?v=bkAi7O-zwS4,,,,
Sidilu Mallikarjuna (periyapatna),https://www.youtube.com/watch?v=xtfiyhGU3ws,,,,
Sri Adi Shakti Seehali Huchamma (B. Seehalli),https://www.youtube.com/watch?v=8oTFer9_Toc,,,,
Sugganahalli,https://www.youtube.com/watch?v=_DVaIA3kCbo,https://www.youtube.com/watch?v=-eszpe1D1IE,,,
Suttur,https://www.youtube.com/watch?v=6bk5ZnwXrgM,,,,
Talakayabetta Cattle Fair,https://www.youtube.com/watch?v=YPlvywYjELs,https://www.youtube.com/watch?v=1j8OE_gVTs0,,,
Udachan,https://www.youtube.com/shorts/k781SU5Nuno,,,,
Ayyanagudi,https://www.youtube.com/watch?v=hKfj5KhdM5U,,,,
Dabaspete,,,,,
