Name or Place,Video link 1,Video link 2,Lat,Long,Month,"Proof of location: Landmarks (Youtube video, Landmark, Timestamp, GPS or Google Street link)"
Aigali,http://www.youtube.com/watch?v=cgLVO77pr_4,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Avani,http://www.youtube.com/watch?v=g1z1nixk5Bs,,13.106016,77.058273,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Baby Betta,http://www.youtube.com/watch?v=cUqHL2CdOBI,,13.106016,77.058273,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Badami,http://www.youtube.com/watch?v=1HP3kb2P_HE ,http://www.youtube.com/watch?v=O6aZwO_4I5k,15.913335,75.685090,Jan,"(Y1, Livestock Fair Area, 0:30 ,https://www.google.com/maps/@15.913335,75.685090,847m/data=!3m1!1e3!4m6!1m2!2s15.913335!3d75.685090!2m1!1e0)"
Badavanahalli,https://www.youtube.com/watch?v=ImcvtKqS6qw,,13.106016,77.058273,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Bagalkote,https://www.youtube.com/watch?v=-3NC5PnxDK4,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Bairisiddeswara cattle fair,https://www.youtube.com/watch?v=uU7Bq8k2N5w,,13.106016,77.058273,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Banashankari fair,https://www.youtube.com/watch?v=IngBPxdn4-g,,13.072557,77.153568,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Bankapura,https://www.youtube.com/watch?v=eJqMPm851yM,,13.094863,77.090038,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Bannur Hemadri,https://www.youtube.com/watch?v=c9s7QImUV-8,,13.257809,76.478368,Jan,"(Y1, Unnamed Marketplace, 0:30 ,https://www.google.com/maps/@13.257809,76.478368,847m/data=!3m1!1e3!4m6!1m2!2s13.257809!3d76.478368!2m1!1e0)"
Basavanagudi cattle fair,https://www.youtube.com/watch?v=hwOjgyD-OqM,,13.321420,76.939077,Jan,"(Y1, Unnamed Parking, 0:30 ,https://www.google.com/maps/@13.321420,76.939077,847m/data=!3m1!1e3!4m6!1m2!2s13.321420!3d76.939077!2m1!1e0)"
Bettadapura cattle fair,https://www.youtube.com/watch?v=qUfdwIosGQU,https://starofmysore.com/oxen-sold-at-rs-5-lakh-a-pair-at-bettadapura-cattle-fair/,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Bhooka,https://www.youtube.com/watch?v=5aIv2nr5GYA,https://www.youtube.com/watch?v=0hFaguqNEfc,13.072557,77.153568,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Birur cattle fair,https://www.youtube.com/watch?v=PaBearlcX7A,,,,,""
Chadchan,https://www.youtube.com/watch?v=kDw13yLDDkw,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Chelur,https://www.youtube.com/watch?v=zNIkwaEjvUk,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Chunchanakatte,https://www.youtube.com/watch?v=RBr2f9sI9IQ,https://www.youtube.com/watch?v=mpsSBV-hgNA,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Davanagere Cattle Fair,,,,,,""
DN Doddi,https://www.youtube.com/watch?v=pJIUq88Rsdc,https://www.youtube.com/watch?v=2SJMM_JifDU,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Doornahalli Bull fair,https://www.youtube.com/watch?v=ZFSCWa0aKTo,,13.257809,76.478368,Jan,"(Y1, Unnamed Marketplace, 0:30 ,https://www.google.com/maps/@13.257809,76.478368,847m/data=!3m1!1e3!4m6!1m2!2s13.257809!3d76.478368!2m1!1e0)"
Ghati Subramanya Jatre,https://www.youtube.com/watch?v=SM0-yon7PJY,,13.072557,77.153568,Jan,"(Y1, Mini market, 0:30 ,https://www.google.com/maps/@13.313069,77.114760,847m/data=!3m1!1e3!4m6!1m2!2s13.313069!3d77.114760!2m1!1e0)"
Gulevu Bellari,https://www.youtube.com/watch?v=STQ4P628YzY,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Gutte Mahimapura,https://www.youtube.com/watch?v=CunjAagcfkI,https://www.youtube.com/watch?v=WBMrlWVESd4,13.139476,76.962979,Jan,"(Y1, Livestock Fair Area, 0:30 ,https://www.google.com/maps/@13.139476,76.962979,847m/data=!3m1!1e3!4m6!1m2!2s13.139476!3d76.962979!2m1!1e0)"
Hassan Cattle Fair,https://www.youtube.com/watch?v=6P1AdRa5uj4,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Hayalla Lingeshwara,https://www.youtube.com/watch?v=U15e302XHKM,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
Hemagiri,https://www.youtube.com/watch?v=E-HAUtJY7xI,,13.139476,76.962979,Jan,"(Y1, Monday Bazar, 0:30 ,https://www.google.com/maps/@13.310398,76.943364,847m/data=!3m1!1e3!4m6!1m2!2s13.310398!3d76.943364!2m1!1e0)"
